Ensembl	Gene	Description
ENSG00000104112	SCG3	"Secretogranin III"
ENSG00000166922	SCG5	"Secretogranin V"
ENSG00000149021	SCGB1A1	"Secretoglobin family 1A member 1"
ENSG00000188076	SCGB1C1	"Secretoglobin family 1C member 1"
ENSG00000268320	SCGB1C2	"Secretoglobin family 1C member 2"
ENSG00000168515	SCGB1D1	"Secretoglobin family 1D member 1"
ENSG00000124935	SCGB1D2	"Secretoglobin family 1D member 2"
ENSG00000197745	SCGB1D4	"Secretoglobin family 1D member 4"
ENSG00000124939	SCGB2A1	"Secretoglobin family 2A member 1"
ENSG00000110484	SCGB2A2	"Secretoglobin family 2A member 2"
ENSG00000205209	SCGB2B2	"Secretoglobin family 2B member 2"
ENSG00000161055	SCGB3A1	"Secretoglobin family 3A member 1"
ENSG00000164265	SCGB3A2	"Secretoglobin family 3A member 2"
ENSG00000121064	SCPEP1	"Serine carboxypeptidase 1"
ENSG00000164106	SCRG1	"Stimulator of chondrogenesis 1"
ENSG00000070031	SCT	Secretin
ENSG00000159307	SCUBE1	"Signal peptide, CUB domain and EGF like domain containing 1"
ENSG00000175356	SCUBE2	"Signal peptide, CUB domain and EGF like domain containing 2"
ENSG00000146197	SCUBE3	"Signal peptide, CUB domain and EGF like domain containing 3"
ENSG00000115884	SDC1	"Syndecan 1"
ENSG00000124145	SDC4	"Syndecan 4"
ENSG00000141574	SECTM1	"Secreted and transmembrane 1"
ENSG00000250722	SELENOP	"Selenoprotein P"
ENSG00000075213	SEMA3A	"Semaphorin 3A"
ENSG00000012171	SEMA3B	"Semaphorin 3B"
ENSG00000075223	SEMA3C	"Semaphorin 3C"
ENSG00000153993	SEMA3D	"Semaphorin 3D"
ENSG00000170381	SEMA3E	"Semaphorin 3E"
ENSG00000001617	SEMA3F	"Semaphorin 3F"
ENSG00000010319	SEMA3G	"Semaphorin 3G"
ENSG00000124233	SEMG1	"Semenogelin I"
ENSG00000124157	SEMG2	"Semenogelin II"
ENSG00000197249	SERPINA1	"Serpin family A member 1"
ENSG00000140093	SERPINA10	"Serpin family A member 10"
ENSG00000186910	SERPINA11	"Serpin family A member 11"
ENSG00000165953	SERPINA12	"Serpin family A member 12"
ENSG00000196136	SERPINA3	"Serpin family A member 3"
ENSG00000100665	SERPINA4	"Serpin family A member 4"
ENSG00000188488	SERPINA5	"Serpin family A member 5"
ENSG00000170099	SERPINA6	"Serpin family A member 6"
ENSG00000123561	SERPINA7	"Serpin family A member 7"
ENSG00000170054	SERPINA9	"Serpin family A member 9"
ENSG00000117601	SERPINC1	"Serpin family C member 1"
ENSG00000099937	SERPIND1	"Serpin family D member 1"
ENSG00000106366	SERPINE1	"Serpin family E member 1"
ENSG00000135919	SERPINE2	"Serpin family E member 2"
ENSG00000253309	SERPINE3	"Serpin family E member 3"
ENSG00000132386	SERPINF1	"Serpin family F member 1"
ENSG00000167711	SERPINF2	"Serpin family F member 2"
ENSG00000149131	SERPING1	"Serpin family G member 1"
ENSG00000163536	SERPINI1	"Serpin family I member 1"
ENSG00000114204	SERPINI2	"Serpin family I member 2"
ENSG00000175793	SFN	Stratifin
ENSG00000104332	SFRP1	"Secreted frizzled related protein 1"
ENSG00000145423	SFRP2	"Secreted frizzled related protein 2"
ENSG00000106483	SFRP4	"Secreted frizzled related protein 4"
ENSG00000120057	SFRP5	"Secreted frizzled related protein 5"
ENSG00000196260	SFTA2	"Surfactant associated 2"
ENSG00000229415	SFTA3	"Surfactant associated 3"
ENSG00000122852	SFTPA1	"Surfactant protein A1"
ENSG00000185303	SFTPA2	"Surfactant protein A2"
ENSG00000168878	SFTPB	"Surfactant protein B"
ENSG00000168484	SFTPC	"Surfactant protein C"
ENSG00000133661	SFTPD	"Surfactant protein D"
ENSG00000129214	SHBG	"Sex hormone binding globulin"
ENSG00000169291	SHE	"Src homology 2 domain containing E"
ENSG00000125900	SIRPD	"Signal regulatory protein delta"
ENSG00000117090	SLAMF1	"Signaling lymphocytic activation molecule family member 1"
ENSG00000187122	SLIT1	"Slit guidance ligand 1"
ENSG00000145147	SLIT2	"Slit guidance ligand 2"
ENSG00000184347	SLIT3	"Slit guidance ligand 3"
ENSG00000178235	SLITRK1	"SLIT and NTRK like family member 1"
ENSG00000124107	SLPI	"Secretory leukocyte peptidase inhibitor"
ENSG00000126233	SLURP1	"Secreted LY6/PLAUR domain containing 1"
ENSG00000283992	SLURP2	"Secreted LY6/PLAUR domain containing 2"
ENSG00000248771	SMIM31	"Small integral membrane protein 31"
ENSG00000198732	SMOC1	"SPARC related modular calcium binding 1"
ENSG00000112562	SMOC2	"SPARC related modular calcium binding 2"
ENSG00000166311	SMPD1	"Sphingomyelin phosphodiesterase 1"
ENSG00000172594	SMPDL3A	"Sphingomyelin phosphodiesterase acid like 3A"
ENSG00000130768	SMPDL3B	"Sphingomyelin phosphodiesterase acid like 3B"
ENSG00000109208	SMR3A	"Submaxillary gland androgen regulated protein 3A"
ENSG00000171201	SMR3B	"Submaxillary gland androgen regulated protein 3B"
ENSG00000162804	SNED1	"Sushi, nidogen and EGF like domains 1"
ENSG00000109610	SOD3	"Superoxide dismutase 3"
ENSG00000149639	SOGA1	"Suppressor of glucose, autophagy associated 1"
ENSG00000137642	SORL1	"Sortilin related receptor 1"
ENSG00000167941	SOST	Sclerostin
ENSG00000171243	SOSTDC1	"Sclerostin domain containing 1"
ENSG00000141316	SPACA3	"Sperm acrosome associated 3"
ENSG00000171489	SPACA5	"Sperm acrosome associated 5"
ENSG00000171478	SPACA5B	"Sperm acrosome associated 5B"
ENSG00000153498	SPACA7	"Sperm acrosome associated 7"
ENSG00000178287	SPAG11A	"Sperm associated antigen 11A"
ENSG00000164871	SPAG11B	"Sperm associated antigen 11B"
ENSG00000113140	SPARC	"Secreted protein acidic and cysteine rich"
ENSG00000152583	SPARCL1	"SPARC like 1"
ENSG00000006282	SPATA20	"Spermatogenesis associated 20"
ENSG00000164266	SPINK1	"Serine peptidase inhibitor, Kazal type 1"
ENSG00000214510	SPINK13	"Serine peptidase inhibitor, Kazal type 13 (putative)"
ENSG00000196800	SPINK14	"Serine peptidase inhibitor, Kazal type 14 (putative)"
ENSG00000128040	SPINK2	"Serine peptidase inhibitor, Kazal type 2"
ENSG00000122711	SPINK4	"Serine peptidase inhibitor, Kazal type 4"
ENSG00000133710	SPINK5	"Serine peptidase inhibitor, Kazal type 5"
ENSG00000178172	SPINK6	"Serine peptidase inhibitor, Kazal type 6"
ENSG00000145879	SPINK7	"Serine peptidase inhibitor, Kazal type 7 (putative)"
ENSG00000229453	SPINK8	"Serine peptidase inhibitor, Kazal type 8 (putative)"
ENSG00000204909	SPINK9	"Serine peptidase inhibitor, Kazal type 9"
ENSG00000166145	SPINT1	"Serine peptidase inhibitor, Kunitz type 1"
ENSG00000101446	SPINT3	"Serine peptidase inhibitor, Kunitz type 3"
ENSG00000149651	SPINT4	"Serine peptidase inhibitor, Kunitz type 4"
ENSG00000152377	SPOCK1	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1"
ENSG00000107742	SPOCK2	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2"
ENSG00000196104	SPOCK3	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3"
ENSG00000262655	SPON1	"Spondin 1"
ENSG00000159674	SPON2	"Spondin 2"
ENSG00000118785	SPP1	"Secreted phosphoprotein 1"
ENSG00000072080	SPP2	"Secreted phosphoprotein 2"
ENSG00000247595	SPTY2D1OS	"SPTY2D1 opposite strand"
ENSG00000134548	SPX	"Spexin hormone"
ENSG00000101955	SRPX	"Sushi repeat containing protein, X-linked"
ENSG00000102359	SRPX2	"Sushi repeat containing protein, X-linked 2"
ENSG00000146700	SSC4D	"Scavenger receptor cysteine rich family member with 4 domains"
ENSG00000179954	SSC5D	"Scavenger receptor cysteine rich family member with 5 domains"
ENSG00000197558	SSPO	SCO-spondin
ENSG00000157005	SST	Somatostatin
ENSG00000073849	ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
ENSG00000126549	STATH	Statherin
ENSG00000159167	STC1	"Stanniocalcin 1"
ENSG00000113739	STC2	"Stanniocalcin 2"
ENSG00000177868	SVBP	"Small vasohibin binding protein"
ENSG00000006128	TAC1	"Tachykinin precursor 1"
ENSG00000166863	TAC3	"Tachykinin 3"
ENSG00000176358	TAC4	"Tachykinin 4"
ENSG00000106638	TBL2	"Transducin beta like 2"
ENSG00000134827	TCN1	"Transcobalamin 1"
ENSG00000185339	TCN2	"Transcobalamin 2"
ENSG00000241186	TDGF1	"Teratocarcinoma-derived growth factor 1"
ENSG00000109927	TECTA	"Tectorin alpha"
ENSG00000119913	TECTB	"Tectorin beta"
ENSG00000120156	TEK	"TEK receptor tyrosine kinase"
ENSG00000159648	TEPP	"Testis, prostate and placenta expressed"
ENSG00000131126	TEX101	"Testis expressed 101"
ENSG00000164081	TEX264	"Testis expressed 264"
ENSG00000091513	TF	Transferrin
ENSG00000160182	TFF1	"Trefoil factor 1"
ENSG00000160181	TFF2	"Trefoil factor 2"
ENSG00000160180	TFF3	"Trefoil factor 3"
ENSG00000003436	TFPI	"Tissue factor pathway inhibitor"
ENSG00000105825	TFPI2	"Tissue factor pathway inhibitor 2"
ENSG00000072274	TFRC	"Transferrin receptor"
ENSG00000042832	TG	Thyroglobulin
ENSG00000163235	TGFA	"Transforming growth factor alpha"
ENSG00000105329	TGFB1	"Transforming growth factor beta 1"
ENSG00000092969	TGFB2	"Transforming growth factor beta 2"
ENSG00000119699	TGFB3	"Transforming growth factor beta 3"
ENSG00000120708	TGFBI	"Transforming growth factor beta induced"
ENSG00000069702	TGFBR3	"Transforming growth factor beta receptor 3"
ENSG00000137801	THBS1	"Thrombospondin 1"
ENSG00000186340	THBS2	"Thrombospondin 2"
ENSG00000169231	THBS3	"Thrombospondin 3"
ENSG00000113296	THBS4	"Thrombospondin 4"
ENSG00000130193	THEM6	"Thioesterase superfamily member 6"
ENSG00000144115	THNSL2	"Threonine synthase like 2"
ENSG00000090534	THPO	Thrombopoietin
ENSG00000187720	THSD4	"Thrombospondin type 1 domain containing 4"
ENSG00000005108	THSD7A	"Thrombospondin type 1 domain containing 7A"
ENSG00000102265	TIMP1	"TIMP metallopeptidase inhibitor 1"
ENSG00000035862	TIMP2	"TIMP metallopeptidase inhibitor 2"
ENSG00000100234	TIMP3	"TIMP metallopeptidase inhibitor 3"
ENSG00000157150	TIMP4	"TIMP metallopeptidase inhibitor 4"
ENSG00000137251	TINAG	"Tubulointerstitial nephritis antigen"
ENSG00000142910	TINAGL1	"Tubulointerstitial nephritis antigen like 1"
ENSG00000038295	TLL1	"Tolloid like 1"
ENSG00000095587	TLL2	"Tolloid like 2"
ENSG00000144339	TMEFF2	"Transmembrane protein with EGF like and two follistatin like domains 2"
ENSG00000164112	TMEM155	"Transmembrane protein 155"
ENSG00000041982	TNC	"Tenascin C"
ENSG00000232810	TNF	"Tumor necrosis factor"
ENSG00000123610	TNFAIP6	"TNF alpha induced protein 6"
ENSG00000164761	TNFRSF11B	"TNF receptor superfamily member 11b"
ENSG00000186891	TNFRSF18	"TNF receptor superfamily member 18"
ENSG00000067182	TNFRSF1A	"TNF receptor superfamily member 1A"
ENSG00000028137	TNFRSF1B	"TNF receptor superfamily member 1B"
ENSG00000215788	TNFRSF25	"TNF receptor superfamily member 25"
ENSG00000243509	TNFRSF6B	"TNF receptor superfamily member 6b"
ENSG00000121858	TNFSF10	"TNF superfamily member 10"
ENSG00000120659	TNFSF11	"TNF superfamily member 11"
ENSG00000239697	TNFSF12	"TNF superfamily member 12"
ENSG00000161955	TNFSF13	"TNF superfamily member 13"
ENSG00000102524	TNFSF13B	"TNF superfamily member 13b"
ENSG00000125735	TNFSF14	"TNF superfamily member 14"
ENSG00000181634	TNFSF15	"TNF superfamily member 15"
ENSG00000120332	TNN	"Tenascin N"
ENSG00000116147	TNR	"Tenascin R"
ENSG00000168477	TNXB	"Tenascin XB"
ENSG00000160404	TOR2A	"Torsin family 2 member A"
ENSG00000172236	TPSAB1	"Tryptase alpha/beta 1"
ENSG00000197253	TPSB2	"Tryptase beta 2 (gene/pseudogene)"
ENSG00000188056	TREML4	"Triggering receptor expressed on myeloid cells like 4"
ENSG00000170893	TRH	"Thyrotropin releasing hormone"
ENSG00000134200	TSHB	"Thyroid stimulating hormone beta"
ENSG00000182704	TSKU	"Tsukushi, small leucine rich proteoglycan"
ENSG00000145777	TSLP	"Thymic stromal lymphopoietin"
ENSG00000175894	TSPEAR	"Thrombospondin type laminin G domain and EAR repeats"
ENSG00000174521	TTC9B	"Tetratricopeptide repeat domain 9B"
ENSG00000118271	TTR	Transthyretin
ENSG00000143367	TUFT1	"Tuftelin 1"
ENSG00000104804	TULP2	"Tubby like protein 2"
ENSG00000078246	TULP3	"Tubby like protein 3"
ENSG00000128791	TWSG1	"Twisted gastrulation BMP signaling modulator 1"
ENSG00000087301	TXNDC16	"Thioredoxin domain containing 16"
ENSG00000165623	UCMA	"Upper zone of growth plate and cartilage matrix associated"
ENSG00000163794	UCN	Urocortin
ENSG00000145040	UCN2	"Urocortin 2"
ENSG00000178473	UCN3	"Urocortin 3"
ENSG00000131015	ULBP2	"UL16 binding protein 2"
ENSG00000169344	UMOD	Uromodulin
ENSG00000049247	UTS2	"Urotensin 2"
ENSG00000188958	UTS2B	"Urotensin 2B"
ENSG00000071246	VASH1	"Vasohibin 1"
ENSG00000143494	VASH2	"Vasohibin 2"
ENSG00000168140	VASN	Vasorin
ENSG00000038427	VCAN	Versican
ENSG00000112715	VEGFA	"Vascular endothelial growth factor A"
ENSG00000173511	VEGFB	"Vascular endothelial growth factor B"
ENSG00000150630	VEGFC	"Vascular endothelial growth factor C"
ENSG00000165197	VEGFD	"Vascular endothelial growth factor D"
ENSG00000128564	VGF	"VGF nerve growth factor inducible"
ENSG00000146469	VIP	"Vasoactive intestinal peptide"
ENSG00000205221	VIT	Vitrin
ENSG00000182853	VMO1	"Vitelline membrane outer layer 1 homolog"
ENSG00000093134	VNN3	"Vanin 3"
ENSG00000189068	VSTM1	"V-set and transmembrane domain containing 1"
ENSG00000170419	VSTM2A	"V-set and transmembrane domain containing 2A"
ENSG00000132821	VSTM2L	"V-set and transmembrane domain containing 2 like"
ENSG00000165633	VSTM4	"V-set and transmembrane domain containing 4"
ENSG00000109072	VTN	Vitronectin
ENSG00000179403	VWA1	"Von Willebrand factor A domain containing 1"
ENSG00000165816	VWA2	"Von Willebrand factor A domain containing 2"
ENSG00000175267	VWA3A	"Von Willebrand factor A domain containing 3A"
ENSG00000158816	VWA5B1	"Von Willebrand factor A domain containing 5B1"
ENSG00000204396	VWA7	"Von Willebrand factor A domain containing 7"
ENSG00000188730	VWC2	"Von Willebrand factor C domain containing 2"
ENSG00000174453	VWC2L	"Von Willebrand factor C domain containing protein 2 like"
ENSG00000167992	VWCE	"Von Willebrand factor C and EGF domains"
ENSG00000146530	VWDE	"Von Willebrand factor D and EGF domains"
ENSG00000110799	VWF	"Von Willebrand factor"
ENSG00000176473	WDR25	"WD repeat domain 25"
ENSG00000103175	WFDC1	"WAP four-disulfide core domain 1"
ENSG00000180305	WFDC10A	"WAP four-disulfide core domain 10A"
ENSG00000182931	WFDC10B	"WAP four-disulfide core domain 10B"
ENSG00000180083	WFDC11	"WAP four-disulfide core domain 11"
ENSG00000168703	WFDC12	"WAP four-disulfide core domain 12"
ENSG00000168634	WFDC13	"WAP four-disulfide core domain 13"
ENSG00000101443	WFDC2	"WAP four-disulfide core domain 2"
ENSG00000124116	WFDC3	"WAP four-disulfide core domain 3"
ENSG00000175121	WFDC5	"WAP four-disulfide core domain 5"
ENSG00000243543	WFDC6	"WAP four-disulfide core domain 6"
ENSG00000158901	WFDC8	"WAP four-disulfide core domain 8"
ENSG00000180205	WFDC9	"WAP four-disulfide core domain 9"
ENSG00000127578	WFIKKN1	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
ENSG00000173714	WFIKKN2	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
ENSG00000156076	WIF1	"WNT inhibitory factor 1"
ENSG00000104415	WISP1	"WNT1 inducible signaling pathway protein 1"
ENSG00000064205	WISP2	"WNT1 inducible signaling pathway protein 2"
ENSG00000112761	WISP3	"WNT1 inducible signaling pathway protein 3"
ENSG00000125084	WNT1	"Wnt family member 1"
ENSG00000135925	WNT10A	"Wnt family member 10A"
ENSG00000169884	WNT10B	"Wnt family member 10B"
ENSG00000085741	WNT11	"Wnt family member 11"
ENSG00000002745	WNT16	"Wnt family member 16"
ENSG00000105989	WNT2	"Wnt family member 2"
ENSG00000134245	WNT2B	"Wnt family member 2B"
ENSG00000108379	WNT3	"Wnt family member 3"
ENSG00000154342	WNT3A	"Wnt family member 3A"
ENSG00000162552	WNT4	"Wnt family member 4"
ENSG00000114251	WNT5A	"Wnt family member 5A"
ENSG00000111186	WNT5B	"Wnt family member 5B"
ENSG00000115596	WNT6	"Wnt family member 6"
ENSG00000154764	WNT7A	"Wnt family member 7A"
ENSG00000188064	WNT7B	"Wnt family member 7B"
ENSG00000061492	WNT8A	"Wnt family member 8A"
ENSG00000075290	WNT8B	"Wnt family member 8B"
ENSG00000143816	WNT9A	"Wnt family member 9A"
ENSG00000158955	WNT9B	"Wnt family member 9B"
ENSG00000143184	XCL1	"X-C motif chemokine ligand 1"
ENSG00000143185	XCL2	"X-C motif chemokine ligand 2"
ENSG00000103489	XYLT1	"Xylosyltransferase 1"
ENSG00000015532	XYLT2	"Xylosyltransferase 2"
ENSG00000174992	ZG16	"Zymogen granule protein 16"
ENSG00000162078	ZG16B	"Zymogen granule protein 16B"
ENSG00000149506	ZP1	"Zona pellucida glycoprotein 1"
ENSG00000103310	ZP2	"Zona pellucida glycoprotein 2"
ENSG00000188372	ZP3	"Zona pellucida glycoprotein 3"
ENSG00000116996	ZP4	"Zona pellucida glycoprotein 4"
ENSG00000042813	ZPBP	"Zona pellucida binding protein"
ENSG00000186075	ZPBP2	"Zona pellucida binding protein 2"
